4,0037482975028,Activated,2016-05-17 21:13:33.443000000,2016-09-12 21:13:33.443000000,,,Ecard,450,216.6,
1,0037482975041,Activated,2016-09-05 21:13:33.443000000,2016-09-15 21:13:33.443000000,,,Physical,10,0,
3,0037482975054,Activated,2016-07-09 21:13:33.443000000,2016-08-10 21:13:33.443000000,,,Physical,450,0,
1,0037482975067,Activated,2015-09-16 21:13:33.443000000,2015-10-11 21:13:33.443000000,,,Ecard,125,2.05,
3,0037482975080,Activated,2015-11-25 21:13:33.443000000,2016-05-28 21:13:33.443000000,,,Ecard,250,0.56,
2,0037482975093,Issued,2016-09-12 21:13:33.443000000,,,,Ecard,50,50,Father's Day Deal
1,0037482975106,Activated,2015-12-27 21:13:33.443000000,2016-03-12 21:13:33.443000000,,,Physical,250,0,
3,0037482975119,Activated,2015-12-02 21:13:33.443000000,2016-06-07 21:13:33.443000000,,,Physical,500,0,
1,0037482975132,Activated,2015-09-12 21:13:33.447000000,2015-10-07 21:13:33.447000000,,,Ecard,300,0,
2,0037482975145,Activated,2016-05-27 21:13:33.447000000,2016-10-16 21:13:33.447000000,,,Ecard,10,10,
1,0037482975158,Activated,2016-06-08 21:13:33.447000000,2016-10-20 21:13:33.447000000,,,Physical,25,0,
3,0037482975184,Activated,2016-05-22 21:13:33.447000000,2016-08-03 21:13:33.447000000,,,Physical,500,195.11,
1,0037482975197,Issued,2016-08-15 21:13:33.447000000,,,,Physical,25,25,
3,0037482975210,Activated,2016-08-04 21:13:33.447000000,2016-09-06 21:13:33.447000000,,,Physical,450,395.31,
1,0037482975223,Activated,2016-06-06 21:13:33.447000000,2016-07-14 21:13:33.447000000,,,Ecard,250,0,
1,0037482975236,Activated,2015-08-04 21:13:33.447000000,2015-08-20 21:13:33.447000000,,,Physical,450,0,
4,0037482975249,Issued,2016-01-05 21:13:33.447000000,,,,Physical,400,400,
4,0037482975262,Issued,2016-04-09 21:13:33.447000000,,,,Physical,10,10,
1,0037482975275,Voided,2016-04-29 21:13:33.447000000,2016-09-03 21:13:33.447000000,2017-02-26 21:13:33.447000000,,Physical,250,0,
4,0037482975288,Activated,2016-07-13 21:13:33.447000000,2016-12-11 21:13:33.447000000,,,Ecard,100,4.91,
3,0037482975301,Activated,2015-09-15 21:13:33.450000000,2016-01-10 21:13:33.450000000,,,Ecard,50,0,
1,0037482975314,Activated,2016-03-07 21:13:33.450000000,2016-04-30 21:13:33.450000000,,,Physical,25,25,
3,0037482975327,Activated,2015-09-16 21:13:33.450000000,2016-02-14 21:13:33.450000000,,,Physical,25,0,
1,0037482975340,Issued,2015-11-30 21:13:33.450000000,,,,Physical,75,75,
2,0037482975353,Activated,2015-10-10 21:13:33.450000000,2015-12-19 21:13:33.450000000,,,Ecard,400,145.43,
1,0037482975366,Activated,2016-04-08 21:13:33.450000000,2016-06-20 21:13:33.450000000,,,Ecard,125,99.04,
1,0037482975379,Activated,2015-12-16 21:13:33.450000000,2016-06-19 21:13:33.450000000,,,Ecard,400,400,
3,0037482975392,Activated,2016-01-01 21:13:33.450000000,2016-04-20 21:13:33.450000000,,,Ecard,350,0,
1,0037483015354,Activated,2016-06-11 21:13:34.387000000,2016-07-29 21:13:34.387000000,,,Ecard,75,62.98,
3,0037483015367,Voided,2016-07-05 21:13:34.387000000,2016-09-01 21:13:34.387000000,2017-02-24 21:13:34.387000000,,Ecard,10,0,
1,0037483015380,Issued,2016-07-16 21:13:34.387000000,,,,Physical,75,75,
2,0037483015393,Voided,2016-03-27 21:13:34.387000000,2016-04-02 21:13:34.387000000,2016-09-25 21:13:34.387000000,,Ecard,500,0,
2,0037483015406,Issued,2015-08-29 21:13:34.387000000,,,,Physical,50,45,
4,0037483015419,Activated,2016-01-05 21:13:34.387000000,2016-01-14 21:13:34.387000000,,,Ecard,300,102.23,
1,0037483015432,Activated,2016-08-12 21:13:34.387000000,2016-12-16 21:13:34.387000000,,,Physical,125,0,
1,0037483015445,Issued,2016-05-21 21:13:34.387000000,,,,Ecard,100,100,
4,0037483015458,Activated,2015-08-21 21:13:34.387000000,2015-11-25 21:13:34.387000000,,,Physical,450,450,
2,0037483015471,Issued,2016-07-29 21:13:34.387000000,,,,Ecard,200,200,Mother's Day Special
1,0037483015484,Activated,2016-06-30 21:13:34.387000000,2016-08-27 21:13:34.387000000,,,Ecard,200,0,
2,0037483015497,Activated,2016-07-15 21:13:34.387000000,2016-11-19 21:13:34.387000000,,,Ecard,150,130,
4,0037483015510,Activated,2016-02-13 21:13:34.390000000,2016-04-08 21:13:34.390000000,,,Physical,350,0,
1,0037483015523,Activated,2016-02-27 21:13:34.390000000,2016-05-14 21:13:34.390000000,,,Ecard,50,50,
3,0037483015536,Activated,2015-09-17 21:13:34.390000000,2016-01-15 21:13:34.390000000,,,Physical,250,10,
4,0037483015549,Issued,2016-02-26 21:13:34.390000000,,,,Physical,50,50,
4,0037483015562,Voided,2016-03-06 21:13:34.390000000,2016-06-23 21:13:34.390000000,2016-12-16 21:13:34.390000000,,Ecard,250,0,
4,0037483015575,Activated,2016-05-26 21:13:34.390000000,2016-06-26 21:13:34.390000000,,,Ecard,100,63.4,
3,0037483015588,Activated,2015-12-04 21:13:34.390000000,2016-01-19 21:13:34.390000000,,,Physical,450,10,
2,0037483015601,Activated,2016-05-10 21:13:34.390000000,2016-05-23 21:13:34.390000000,,,Ecard,500,341.36,
1,0037483015614,Issued,2016-01-05 21:13:34.390000000,,,,Ecard,350,350,
3,0037483015627,Issued,2016-03-14 21:13:34.390000000,,,,Physical,125,125,
3,0037483015640,Issued,2015-11-20 21:13:34.390000000,,,,Physical,250,250,
1,0037483015653,Activated,2015-10-07 21:13:34.390000000,2015-11-22 21:13:34.390000000,,,Ecard,50,0,
1,0037483015666,Issued,2016-08-15 21:13:34.390000000,,,,Physical,50,50,
1,0037483015679,Issued,2016-07-13 21:13:34.390000000,,,,Physical,75,75,
3,0037483015692,Voided,2016-03-07 21:13:34.390000000,2016-07-02 21:13:34.390000000,2016-12-25 21:13:34.390000000,,Physical,75,15,
1,0037483015705,Activated,2016-04-06 21:13:34.390000000,2016-07-31 21:13:34.390000000,,,Ecard,500,220.98,
1,0037483015718,Issued,2015-12-11 21:13:34.393000000,,,,Physical,125,125,
1,0037483015744,Issued,2015-10-09 21:13:34.393000000,,,,Ecard,300,300,
3,0037483015757,Issued,2016-04-19 21:13:34.393000000,,,,Physical,450,450,
2,0037483015770,Issued,2015-09-10 21:13:34.393000000,,,,Physical,50,50,Birthday Card
3,0037483015783,Issued,2015-10-17 21:13:34.393000000,,,,Physical,250,250,
2,0037483015796,Voided,2016-04-30 21:13:34.393000000,2016-06-24 21:13:34.393000000,2016-12-17 21:13:34.393000000,,Physical,125,0,Father's Day Deal
1,0037483015809,Activated,2016-09-07 21:13:34.393000000,2017-03-07 21:13:34.393000000,,,Ecard,100,0,
1,0037483015822,Activated,2016-01-03 21:13:34.393000000,2016-03-04 21:13:34.393000000,,,Ecard,500,368.83,
1,0037483015835,Voided,2016-03-31 21:13:34.393000000,2016-05-10 21:13:34.393000000,2016-11-02 21:13:34.393000000,,Ecard,200,0,
1,0037483015848,Issued,2016-07-29 21:13:34.393000000,,,,Physical,10,10,
4,0037483015861,Activated,2016-07-29 21:13:34.397000000,2016-08-20 21:13:34.397000000,,,Physical,300,261.91,
3,0037483015874,Issued,2016-06-07 21:13:34.397000000,,,,Physical,10,10,
1,0037483015887,Activated,2016-06-13 21:13:34.397000000,2016-11-12 21:13:34.397000000,,,Ecard,75,10.04,
2,0037483015900,Activated,2016-01-27 21:13:34.397000000,2016-04-13 21:13:34.397000000,,,Physical,350,0,Father's Day Deal
3,0037483015913,Issued,2015-07-18 21:13:34.397000000,,,,Ecard,500,500,
4,0037483015926,Activated,2016-05-29 21:13:34.397000000,2016-08-19 21:13:34.397000000,,,Physical,350,331.76,
1,0037483015939,Activated,2016-08-28 21:13:34.397000000,2016-11-05 21:13:34.397000000,,,Physical,200,95.32,
1,0037483015952,Issued,2016-03-01 21:13:34.397000000,,,,Ecard,400,400,
3,0037483015965,Issued,2015-10-30 21:13:34.397000000,,,,Physical,150,150,
1,0037483015978,Issued,2016-05-14 21:13:34.397000000,,,,Ecard,400,400,
1,0037483015991,Issued,2015-07-20 21:13:34.400000000,,,,Physical,200,200,
3,0037483016004,Activated,2016-02-26 21:13:34.400000000,2016-05-03 21:13:34.400000000,,,Ecard,450,193.76,
1,0037483016017,Issued,2015-09-11 21:13:34.400000000,,,,Physical,100,100,
1,0037483016030,Activated,2015-08-03 21:13:34.400000000,2015-10-07 21:13:34.400000000,,,Ecard,75,0,
1,0037483016043,Issued,2016-05-23 21:13:34.400000000,,,,Physical,25,25,
2,0037483016056,Activated,2016-06-28 21:13:34.400000000,2016-09-24 21:13:34.400000000,,,Ecard,125,0,Mother's Day Special
1,0037483016069,Activated,2016-07-25 21:13:34.400000000,2016-10-18 21:13:34.400000000,,,Ecard,300,0,
1,0037483016082,Activated,2016-02-20 21:13:34.400000000,2016-04-16 21:13:34.400000000,,,Physical,450,0,
2,0037483016095,Activated,2016-01-13 21:13:34.400000000,2016-05-23 21:13:34.400000000,,,Physical,500,500,Bought 2 Got 1 Free
4,0037483016108,Voided,2016-05-09 21:13:34.400000000,2016-05-28 21:13:34.400000000,2016-11-20 21:13:34.400000000,,Physical,400,0,
2,0037483016121,Activated,2015-11-13 21:13:34.400000000,2016-01-30 21:13:34.400000000,,,Physical,500,489.25,Mother's Day Special
1,0037483016134,Issued,2015-07-23 21:13:34.400000000,,,,Physical,250,250,
1,0037483016147,Issued,2016-02-20 21:13:34.400000000,,,,Ecard,100,100,
1,0037483016160,Activated,2015-12-23 21:13:34.403000000,2016-01-20 21:13:34.403000000,,,Physical,450,328.73,
1,0037483016173,Activated,2015-10-01 21:13:34.403000000,2015-12-13 21:13:34.403000000,,,Physical,150,109.47,
1,0037483016186,Voided,2016-05-30 21:13:34.403000000,2016-06-14 21:13:34.403000000,2016-12-07 21:13:34.403000000,,Ecard,150,0,
4,0037483016199,Issued,2016-02-15 21:13:34.403000000,,,,Physical,100,100,
4,0037483016212,Issued,2016-03-11 21:13:34.403000000,,,,Ecard,75,75,
1,0037483016225,Issued,2016-02-18 21:13:34.403000000,,,,Ecard,50,50,
1,0037483016238,Issued,2015-11-19 21:13:34.403000000,,,,Physical,50,50,
4,0037483016251,Voided,2015-08-27 21:13:34.403000000,2015-12-18 21:13:34.403000000,2016-06-11 21:13:34.403000000,,Physical,450,0,
